"","hero","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"15","Chromie",-1.35191557252226,4.29122007558458,0.255741331272506,0.42839917589881,-0.612813778658891,-0.083284940598389,-1.0282529275937,-0.110157677146914,0.912388335872483,-0.395994880064883,0.27158121608621,-0.19099916233231
"16","D.Va",-2.48221240411962,-2.65948099722802,-2.22980284149304,2.65942915318484,-2.26539709096874,4.63723843637668,0.369372101698946,1.1576345822855,1.91148915565077,1.45054980137378,0.456018974856808,-0.632409036383321
"17","Deckard",5.9146784266754,2.17418469387958,-1.75048973489626,-0.0430668263535974,-1.38814422102019,-2.11491234664321,0.62489250276595,2.60052431258341,-0.566822043474482,1.12168476019974,1.02457360998184,0.524825457352332
"18","Dehaka",-0.382507243587873,-2.74272753327925,-2.8883022548797,0.774809411195883,0.733506288123936,0.784367862554617,-1.5418123332479,-0.504332448820944,-0.385947854233542,0.612712800707672,-0.239279840604558,0.253211750217608
"19","Diablo",1.50772796515179,-3.42556966780944,-1.02361384396249,0.956098100771688,-0.277486778198513,-0.598628648709641,-0.73234899333593,-1.44895696477623,0.318002407783159,-0.286528271289326,0.242380310874218,0.440002179298068
"20","E.T.C.",2.60265202281865,-3.5976731877158,-1.10082529582581,0.0472891999929663,-0.394417722473207,-0.295434756070654,-1.01833640690529,-1.79514169736371,0.107825154293834,-0.525782605510143,0.326276378875315,1.00143996659127
"21","Falstad",-2.21597081103082,0.890306900299595,-0.0295630870811519,-0.904361140821008,1.23614607739392,0.0179135224095524,-0.850387878832599,0.117518705831656,0.049873071776438,-0.400406743262076,0.351939896696374,0.438495986736975
"22","Fenix",-2.45561208710518,1.61389529090847,0.613048176399261,-0.489990793963858,-0.0292223750995384,-0.443473450131911,-0.334424003759711,-0.445849868377629,0.088962981396728,-0.904622857211022,0.512132321020635,-0.41945629400716
"23","Garrosh",2.44804206859069,-3.9476540200524,0.231871683886229,2.17820549644612,-0.316210827374167,1.4057759091612,0.012267007678354,0.793765195845159,0.31727071765663,-0.572678727333349,-0.836451237336068,-0.495615294630443
"24","Gazlowe",-2.92740063774596,1.38072231268367,-0.360458655608632,-1.87371790664683,-0.00546215725324909,0.0530624417258598,1.19900825722477,-0.0317184632124879,0.564467681186126,0.362334964766266,-2.09124555112511,0.777633712061617
"25","Genji",-0.739604552006664,-0.641530693084172,2.08574046348885,1.50583152928364,1.24783843339128,0.261322381072103,-0.328181392893625,1.08156159625459,0.523982506324176,-0.42051606693234,0.908771381187885,0.193055634512259
"26","Greymane",-2.84055251925155,-0.26900298182718,2.11666629173535,-1.09005184251004,1.12081886581172,0.0579685924156387,0.793992081855622,0.0790999928327584,0.606144200406241,-0.019061956574119,-0.311512410772319,0.312637627268371
"27","Gul'dan",-2.66051178300113,2.17045457545909,0.201577378279432,0.673812959001183,-1.36752279178539,0.0606648467664672,-0.871241971693865,-0.851666761764976,-0.976126885496677,0.2663377243622,-0.748830961113679,-0.598295024489844
"28","Hanzo",-1.04503336345862,3.02493895613812,0.929634300306378,-0.180773143137481,0.812262120942716,-0.325413357774604,-0.921762022973877,-0.173907069296542,1.02385895991927,-0.143611797488068,0.167038980729468,0.222805696300096
